2019-01-14 08:53:10,594 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature.femalegraduates:FemaleGraduates:0.0.1-SNAPSHOT @ /home/cloudera/workspace/project1/FemaleGraduates/pom.xml.
2019-01-14 08:53:11,771 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature.femalegraduates:FemaleGraduates:0.0.1-SNAPSHOT @ /home/cloudera/workspace/project1/FemaleGraduates/pom.xml.
2019-01-14 08:53:11,783 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FemaleGraduates/src/main/java
2019-01-14 08:53:11,795 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /FemaleGraduates/src/main/resources
2019-01-14 08:53:11,808 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FemaleGraduates/src/test/java
2019-01-14 08:53:11,809 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /FemaleGraduates/src/test/resources
2019-01-14 08:53:14,543 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature.femalegraduates:FemaleGraduates:0.0.1-SNAPSHOT @ /home/cloudera/workspace/project1/FemaleGraduates/pom.xml.
2019-01-14 08:53:14,790 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-14 08:53:14,818 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-14 08:53:14,835 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-14 08:53:14,836 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
